Sample	Type	Group	Chr	Ratio	Mapped	Total
CbA7	Cb	Aged	chr9	0.0675	3822926	56666906
CbA7	Cb	Aged	chr10	0.0496	2808170	56666906
CbA7	Cb	Aged	chr11	0.04	2268746	56666906
CbA7	Cb	Aged	chr12	0.049	2775766	56666906
CbA7	Cb	Aged	chr13	0.0407	2304123	56666906
CbA7	Cb	Aged	chr14	0.0659	3735161	56666906
CbA7	Cb	Aged	chr15	0.0376	2131482	56666906
CbA7	Cb	Aged	chr16	0.0365	2068957	56666906
CbA7	Cb	Aged	chr17	0.0309	1751958	56666906
CbA7	Cb	Aged	chr18	0.0341	1934308	56666906
CbA7	Cb	Aged	chr19	0.0222	1260082	56666906
CbA7	Cb	Aged	chrM	0.0167	946039	56666906
CbA7	Cb	Aged	chrX	0.0401	2273839	56666906
CbA7	Cb	Aged	chrY	0.0121	685141	56666906
CbA7	Cb	Aged	UnMapped	0.39349999999999996	36761840	56666906
CbY1	Cb	Young	chr1	0.0769	7244985	94243151
CbY1	Cb	Young	chr2	0.0813	7666562	94243151
CbY1	Cb	Young	chr3	0.063	5934280	94243151
CbY1	Cb	Young	chr4	0.0612	5764227	94243151
CbY1	Cb	Young	chr5	0.0597	5630965	94243151
CbY1	Cb	Young	chr6	0.061	5747307	94243151
CbY1	Cb	Young	chr7	0.0533	5020964	94243151
CbY1	Cb	Young	chr8	0.0476	4488076	94243151
CbY1	Cb	Young	chr9	0.066	6221118	94243151
CbY1	Cb	Young	chr10	0.0532	5012666	94243151
CbY1	Cb	Young	chr11	0.0504	4750592	94243151
CbY1	Cb	Young	chr12	0.0484	4565854	94243151
CbY1	Cb	Young	chr13	0.0561	5285098	94243151
CbY1	Cb	Young	chr14	0.0534	5033454	94243151
CbY1	Cb	Young	chr15	0.0385	3624055	94243151
CbY1	Cb	Young	chr16	0.0532	5009314	94243151
CbY1	Cb	Young	chr17	0.0372	3509155	94243151
CbY1	Cb	Young	chr18	0.0383	3610991	94243151
CbY1	Cb	Young	chr19	0.0275	2594664	94243151
CbY1	Cb	Young	chrM	0.0324	3050262	94243151
CbY1	Cb	Young	chrX	0.0361	3398914	94243151
CbY1	Cb	Young	chrY	0.0133	1253183	94243151
CbY1	Cb	Young	UnMapped	0.2087	24851625	94243151
CbY2	Cb	Young	chr1	0.0817	6684200	81783402
CbY2	Cb	Young	chr2	0.0826	6757792	81783402
CbY2	Cb	Young	chr3	0.0704	5759941	81783402
CbY2	Cb	Young	chr4	0.0536	4386325	81783402
CbY2	Cb	Young	chr5	0.0705	5769221	81783402
CbY2	Cb	Young	chr6	0.0574	4691991	81783402
CbY2	Cb	Young	chr7	0.0502	4101726	81783402
CbY2	Cb	Young	chr8	0.0493	4034166	81783402
CbY2	Cb	Young	chr9	0.079	6461333	81783402
CbY2	Cb	Young	chr10	0.0457	3734303	81783402
CbY2	Cb	Young	chr11	0.1033	8444168	81783402
CbY2	Cb	Young	chr12	0.0477	3903229	81783402
CbY2	Cb	Young	chr13	0.0364	2977685	81783402
CbY2	Cb	Young	chr14	0.0408	3336775	81783402
CbY2	Cb	Young	chr15	0.035	2865885	81783402
CbY2	Cb	Young	chr16	0.037	3029053	81783402
CbY2	Cb	Young	chr17	0.0426	3483353	81783402
CbY2	Cb	Young	chr18	0.043	3514649	81783402
CbY2	Cb	Young	chr19	0.0249	2033955	81783402
CbY2	Cb	Young	chrM	0.0307	2511146	81783402
CbY2	Cb	Young	chrX	0.0323	2641666	81783402
CbY2	Cb	Young	chrY	0.0081	661715	81783402
CbY2	Cb	Young	UnMapped	0.1866	18766008	81783402
CbY3	Cb	Young	chr1	0.075	4696136	62649617
CbY3	Cb	Young	chr2	0.103	6452557	62649617
CbY3	Cb	Young	chr3	0.0569	3565140	62649617
CbY3	Cb	Young	chr4	0.0531	3328366	62649617
CbY3	Cb	Young	chr5	0.0527	3300368	62649617
CbY3	Cb	Young	chr6	0.0598	3747496	62649617
CbY3	Cb	Young	chr7	0.0531	3324857	62649617
CbY3	Cb	Young	chr8	0.0545	3414041	62649617
CbY3	Cb	Young	chr9	0.1046	6553117	62649617
CbY3	Cb	Young	chr10	0.0475	2975044	62649617
CbY3	Cb	Young	chr11	0.0439	2751611	62649617
CbY3	Cb	Young	chr12	0.0535	3348832	62649617
CbY3	Cb	Young	chr13	0.0464	2907207	62649617
CbY3	Cb	Young	chr14	0.0488	3056026	62649617
CbY3	Cb	Young	chr15	0.0388	2428454	62649617
CbY3	Cb	Young	chr16	0.0392	2457243	62649617
CbY3	Cb	Young	chr17	0.0315	1970774	62649617
CbY3	Cb	Young	chr18	0.0353	2212291	62649617
CbY3	Cb	Young	chr19	0.0239	1494618	62649617
CbY3	Cb	Young	chrM	0.0181	1136163	62649617
CbY3	Cb	Young	chrX	0.0414	2590605	62649617
CbY3	Cb	Young	chrY	0.0157	985060	62649617
CbY3	Cb	Young	UnMapped	0.28559999999999997	25051445	62649617
CbY4	Cb	Young	chr1	0.0863	4694292	54425266
CbY4	Cb	Young	chr2	0.0998	5432683	54425266
CbY4	Cb	Young	chr3	0.0589	3206315	54425266
CbY4	Cb	Young	chr4	0.0524	2849296	54425266
CbY4	Cb	Young	chr5	0.0583	3170782	54425266
CbY4	Cb	Young	chr6	0.0457	2485387	54425266
CbY4	Cb	Young	chr7	0.0556	3027665	54425266
CbY4	Cb	Young	chr8	0.0568	3093176	54425266
CbY4	Cb	Young	chr9	0.0962	5233207	54425266
CbY4	Cb	Young	chr10	0.0522	2841164	54425266
CbY4	Cb	Young	chr11	0.0415	2259264	54425266
CbY4	Cb	Young	chr12	0.0575	3127734	54425266
CbY4	Cb	Young	chr13	0.0604	3289729	54425266
CbY4	Cb	Young	chr14	0.0505	2747031	54425266
CbY4	Cb	Young	chr15	0.0453	2464160	54425266
CbY4	Cb	Young	chr16	0.0298	1622696	54425266
CbY4	Cb	Young	chr17	0.0303	1649894	54425266
CbY4	Cb	Young	chr18	0.0421	2290316	54425266
CbY4	Cb	Young	chr19	0.0173	939499	54425266
CbY4	Cb	Young	chrM	0.021	1145354	54425266
CbY4	Cb	Young	chrX	0.0324	1762659	54425266
CbY4	Cb	Young	chrY	0.0127	691090	54425266
CbY4	Cb	Young	UnMapped	0.18059999999999998	11993694	54425266
CbY5	Cb	Young	chr1	0.072	4919359	68330648
CbY5	Cb	Young	chr2	0.0795	5431277	68330648
CbY5	Cb	Young	chr3	0.0628	4287953	68330648
CbY5	Cb	Young	chr4	0.0502	3432980	68330648
CbY5	Cb	Young	chr5	0.0543	3709664	68330648
CbY5	Cb	Young	chr6	0.1064	7270521	68330648
CbY5	Cb	Young	chr7	0.0581	3972261	68330648
CbY5	Cb	Young	chr8	0.0484	3304436	68330648
CbY5	Cb	Young	chr9	0.0651	4449136	68330648
CbY5	Cb	Young	chr10	0.048	3282088	68330648
CbY5	Cb	Young	chr11	0.0627	4283167	68330648
CbY5	Cb	Young	chr12	0.0429	2929613	68330648
CbY5	Cb	Young	chr13	0.0496	3386174	68330648
CbY5	Cb	Young	chr14	0.0436	2980316	68330648
CbY5	Cb	Young	chr15	0.0405	2766647	68330648
CbY5	Cb	Young	chr16	0.033	2253026	68330648
CbY5	Cb	Young	chr17	0.0367	2508501	68330648
CbY5	Cb	Young	chr18	0.0343	2342025	68330648
CbY5	Cb	Young	chr19	0.0221	1510110	68330648
CbY5	Cb	Young	chrM	0.0371	2532306	68330648
CbY5	Cb	Young	chrX	0.0365	2493467	68330648
CbY5	Cb	Young	chrY	0.0159	1084637	68330648
CbY5	Cb	Young	UnMapped	0.24060000000000004	21646412	68330648
CbY6	Cb	Young	chr1	0.0817	6227399	76178734
CbY6	Cb	Young	chr2	0.0919	7003019	76178734
CbY6	Cb	Young	chr3	0.0617	4701782	76178734
CbY6	Cb	Young	chr4	0.057	4344531	76178734
CbY6	Cb	Young	chr5	0.0648	4939330	76178734
CbY6	Cb	Young	chr6	0.0554	4218643	76178734
CbY6	Cb	Young	chr7	0.0728	5544169	76178734
CbY6	Cb	Young	chr8	0.0494	3766245	76178734
CbY6	Cb	Young	chr9	0.0741	5643795	76178734
CbY6	Cb	Young	chr10	0.048	3654622	76178734
CbY6	Cb	Young	chr11	0.053	4035946	76178734
CbY6	Cb	Young	chr12	0.0531	4043289	76178734
CbY6	Cb	Young	chr13	0.0517	3937159	76178734
CbY6	Cb	Young	chr14	0.0566	4312332	76178734
CbY6	Cb	Young	chr15	0.0409	3113655	76178734
CbY6	Cb	Young	chr16	0.0389	2961216	76178734
CbY6	Cb	Young	chr17	0.0355	2701388	76178734
CbY6	Cb	Young	chr18	0.0441	3362024	76178734
CbY6	Cb	Young	chr19	0.0243	1847698	76178734
CbY6	Cb	Young	chrM	0.0153	1166762	76178734
CbY6	Cb	Young	chrX	0.033	2514525	76178734
CbY6	Cb	Young	chrY	0.0127	969879	76178734
CbY6	Cb	Young	UnMapped	0.2158	20960474	76178734
CbY7	Cb	Young	chr1	0.0823	6670267	81033372
CbY7	Cb	Young	chr2	0.0823	6671399	81033372
CbY7	Cb	Young	chr3	0.0634	5138610	81033372
CbY7	Cb	Young	chr4	0.0563	4558969	81033372
CbY7	Cb	Young	chr5	0.0615	4981034	81033372
CbY7	Cb	Young	chr6	0.0608	4926037	81033372
CbY7	Cb	Young	chr7	0.0545	4415959	81033372
CbY7	Cb	Young	chr8	0.0539	4370296	81033372
CbY7	Cb	Young	chr9	0.0653	5293215	81033372
CbY7	Cb	Young	chr10	0.0603	4887469	81033372
CbY7	Cb	Young	chr11	0.0577	4676925	81033372
CbY7	Cb	Young	chr12	0.0585	4742492	81033372
CbY7	Cb	Young	chr13	0.0478	3873494	81033372
CbY7	Cb	Young	chr14	0.0466	3779442	81033372
CbY7	Cb	Young	chr15	0.035	2832467	81033372
CbY7	Cb	Young	chr16	0.051	4133268	81033372
CbY7	Cb	Young	chr17	0.0378	3066290	81033372
CbY7	Cb	Young	chr18	0.029	2346903	81033372
CbY7	Cb	Young	chr19	0.0257	2081440	81033372
CbY7	Cb	Young	chrM	0.0248	2008847	81033372
CbY7	Cb	Young	chrX	0.0332	2690448	81033372
CbY7	Cb	Young	chrY	0.0188	1521120	81033372
CbY7	Cb	Young	UnMapped	0.1583	15239842	81033372
CpuA1	CPu	Aged	chr1	0.1029	8030932	78012611
CpuA1	CPu	Aged	chr2	0.0588	4589078	78012611
CpuA1	CPu	Aged	chr3	0.0398	3102954	78012611
CpuA1	CPu	Aged	chr4	0.0443	3455922	78012611
CpuA1	CPu	Aged	chr5	0.0424	3304734	78012611
CpuA1	CPu	Aged	chr6	0.0436	3405036	78012611
CpuA1	CPu	Aged	chr7	0.0466	3633841	78012611
CpuA1	CPu	Aged	chr8	0.041	3196281	78012611
CpuA1	CPu	Aged	chr9	0.0442	3445891	78012611
CpuA1	CPu	Aged	chr10	0.0366	2855138	78012611
CpuA1	CPu	Aged	chr11	0.0439	3424840	78012611
CpuA1	CPu	Aged	chr12	0.0356	2779801	78012611
CpuA1	CPu	Aged	chr13	0.0363	2835737	78012611
CpuA1	CPu	Aged	chr14	0.031	2417113	78012611
CpuA1	CPu	Aged	chr15	0.0323	2523364	78012611
CpuA1	CPu	Aged	chr16	0.0274	2140843	78012611
CpuA1	CPu	Aged	chr17	0.0255	1992270	78012611
CpuA1	CPu	Aged	chr18	0.0262	2047134	78012611
CpuA1	CPu	Aged	chr19	0.0221	1720377	78012611
CpuA1	CPu	Aged	chrM	0.3146	24543187	78012611
CpuA1	CPu	Aged	chrX	0.0197	1538531	78012611
CpuA1	CPu	Aged	chrY	0.0099	775416	78012611
CpuA1	CPu	Aged	UnMapped	0.08409999999999995	7166693	78012611
CpuA2	CPu	Aged	chr1	0.1038	9486445	91429469
CpuA2	CPu	Aged	chr2	0.0637	5828365	91429469
CpuA2	CPu	Aged	chr3	0.0497	4548332	91429469
CpuA2	CPu	Aged	chr4	0.0454	4147015	91429469
CpuA2	CPu	Aged	chr5	0.0464	4244426	91429469
CpuA2	CPu	Aged	chr6	0.0511	4669600	91429469
CpuA2	CPu	Aged	chr7	0.0415	3791440	91429469
CpuA2	CPu	Aged	chr8	0.0477	4358620	91429469
CpuA2	CPu	Aged	chr9	0.0476	4352053	91429469
CpuA2	CPu	Aged	chr10	0.0398	3640436	91429469
CpuA2	CPu	Aged	chr11	0.0424	3878693	91429469
CpuA2	CPu	Aged	chr12	0.042	3843124	91429469
CpuA2	CPu	Aged	chr13	0.0415	3793327	91429469
CpuA2	CPu	Aged	chr14	0.0348	3185444	91429469
CpuA2	CPu	Aged	chr15	0.0322	2941225	91429469
CpuA2	CPu	Aged	chr16	0.0324	2965913	91429469
CpuA2	CPu	Aged	chr17	0.0246	2252094	91429469
CpuA2	CPu	Aged	chr18	0.034	3105817	91429469
CpuA2	CPu	Aged	chr19	0.0203	1855888	91429469
CpuA2	CPu	Aged	chrM	0.2321	21222065	91429469
CpuA2	CPu	Aged	chrX	0.0276	2527161	91429469
CpuA2	CPu	Aged	chrY	0.0096	876892	91429469
CpuA2	CPu	Aged	UnMapped	0.1199	12452513	91429469
CpuA3	CPu	Aged	chr1	0.0936	7348931	78521184
CpuA3	CPu	Aged	chr2	0.0745	5847970	78521184
CpuA3	CPu	Aged	chr3	0.0503	3950652	78521184
CpuA3	CPu	Aged	chr4	0.0589	4622867	78521184
CpuA3	CPu	Aged	chr5	0.0473	3711080	78521184
CpuA3	CPu	Aged	chr6	0.057	4474551	78521184
CpuA3	CPu	Aged	chr7	0.053	4161143	78521184
CpuA3	CPu	Aged	chr8	0.039	3062781	78521184
CpuA3	CPu	Aged	chr9	0.0665	5220644	78521184
CpuA3	CPu	Aged	chr10	0.045	3529660	78521184
CpuA3	CPu	Aged	chr11	0.0363	2847389	78521184
CpuA3	CPu	Aged	chr12	0.0453	3556528	78521184
CpuA3	CPu	Aged	chr13	0.0517	4062961	78521184
CpuA3	CPu	Aged	chr14	0.0391	3071840	78521184
CpuA3	CPu	Aged	chr15	0.0363	2847096	78521184
CpuA3	CPu	Aged	chr16	0.0315	2476425	78521184
CpuA3	CPu	Aged	chr17	0.0277	2176223	78521184
CpuA3	CPu	Aged	chr18	0.0307	2409476	78521184
CpuA3	CPu	Aged	chr19	0.0178	1400660	78521184
CpuA3	CPu	Aged	chrM	0.1562	12266748	78521184
CpuA3	CPu	Aged	chrX	0.0332	2610629	78521184
CpuA3	CPu	Aged	chrY	0.0137	1075785	78521184
CpuA3	CPu	Aged	UnMapped	0.09189999999999998	7949950	78521184
CpuA4	CPu	Aged	chr1	0.1156	8060640	69745079
CpuA4	CPu	Aged	chr2	0.0752	5246902	69745079
CpuA4	CPu	Aged	chr3	0.0439	3062528	69745079
CpuA4	CPu	Aged	chr4	0.0451	3148222	69745079
CpuA4	CPu	Aged	chr5	0.0479	3337816	69745079
CpuA4	CPu	Aged	chr6	0.045	3141557	69745079
CpuA4	CPu	Aged	chr7	0.0505	3521446	69745079
CpuA4	CPu	Aged	chr8	0.0436	3041393	69745079
CpuA4	CPu	Aged	chr9	0.0587	4093427	69745079
CpuA4	CPu	Aged	chr10	0.0425	2966068	69745079
CpuA4	CPu	Aged	chr11	0.0395	2757130	69745079
CpuA4	CPu	Aged	chr12	0.0424	2955987	69745079
CpuA4	CPu	Aged	chr13	0.0384	2679622	69745079
CpuA4	CPu	Aged	chr14	0.0349	2431190	69745079
CpuA4	CPu	Aged	chr15	0.0295	2057859	69745079
CpuA4	CPu	Aged	chr16	0.0254	1769675	69745079
CpuA4	CPu	Aged	chr17	0.0279	1942791	69745079
CpuA4	CPu	Aged	chr18	0.0301	2102698	69745079
CpuA4	CPu	Aged	chr19	0.0179	1247455	69745079
CpuA4	CPu	Aged	chrM	0.2153	15017331	69745079
CpuA4	CPu	Aged	chrX	0.0283	1971966	69745079
CpuA4	CPu	Aged	chrY	0.0107	744280	69745079
CpuA4	CPu	Aged	UnMapped	0.054200000000000026	3997929	69745079
CpuA5	CPu	Aged	chr1	0.1018	7219676	70951218
CpuA5	CPu	Aged	chr2	0.069	4893635	70951218
CpuA5	CPu	Aged	chr3	0.0421	2985015	70951218
CpuA5	CPu	Aged	chr4	0.0447	3169533	70951218
CpuA5	CPu	Aged	chr5	0.0431	3061209	70951218
CpuA5	CPu	Aged	chr6	0.0427	3030379	70951218
CpuA5	CPu	Aged	chr7	0.0412	2926436	70951218
CpuA5	CPu	Aged	chr8	0.0366	2595242	70951218
CpuA5	CPu	Aged	chr9	0.056	3971872	70951218
CpuA5	CPu	Aged	chr10	0.0382	2709308	70951218
CpuA5	CPu	Aged	chr11	0.0379	2690278	70951218
CpuA5	CPu	Aged	chr12	0.0351	2492492	70951218
CpuA5	CPu	Aged	chr13	0.0373	2644858	70951218
CpuA5	CPu	Aged	chr14	0.0337	2387867	70951218
CpuA5	CPu	Aged	chr15	0.0264	1875594	70951218
CpuA5	CPu	Aged	chr16	0.0271	1921431	70951218
CpuA5	CPu	Aged	chr17	0.0277	1965040	70951218
CpuA5	CPu	Aged	chr18	0.0265	1882318	70951218
CpuA5	CPu	Aged	chr19	0.0181	1284186	70951218
CpuA5	CPu	Aged	chrM	0.2798	19850855	70951218
CpuA5	CPu	Aged	chrX	0.027	1916868	70951218
CpuA5	CPu	Aged	chrY	0.0107	757083	70951218
CpuA5	CPu	Aged	UnMapped	0.04630000000000001	3445574	70951218
CpuA6	CPu	Aged	chr1	0.0887	8039285	90590706
CpuA6	CPu	Aged	chr2	0.0782	7079897	90590706
CpuA6	CPu	Aged	chr3	0.0529	4792864	90590706
CpuA6	CPu	Aged	chr4	0.0505	4574197	90590706
CpuA6	CPu	Aged	chr5	0.0532	4819560	90590706
CpuA6	CPu	Aged	chr6	0.0577	5225348	90590706
CpuA6	CPu	Aged	chr7	0.0524	4743511	90590706
CpuA6	CPu	Aged	chr8	0.054	4888079	90590706
CpuA6	CPu	Aged	chr9	0.0592	5365755	90590706
CpuA6	CPu	Aged	chr10	0.0435	3943093	90590706
CpuA6	CPu	Aged	chr11	0.0432	3912750	90590706
CpuA6	CPu	Aged	chr12	0.0426	3857449	90590706
CpuA6	CPu	Aged	chr13	0.0421	3813259	90590706
CpuA6	CPu	Aged	chr14	0.0494	4473146	90590706
CpuA6	CPu	Aged	chr15	0.0326	2956544	90590706
CpuA6	CPu	Aged	chr16	0.036	3258658	90590706
CpuA6	CPu	Aged	chr17	0.0316	2862837	90590706
CpuA6	CPu	Aged	chr18	0.0274	2478040	90590706
CpuA6	CPu	Aged	chr19	0.0188	1700023	90590706
CpuA6	CPu	Aged	chrM	0.1646	14908204	90590706
CpuA6	CPu	Aged	chrX	0.034	3077016	90590706
CpuA6	CPu	Aged	chrY	0.012	1090935	90590706
CpuA6	CPu	Aged	UnMapped	0.0806	7941674	90590706
CpuA7	CPu	Aged	chr1	0.0974	8782196	90166422
CpuA7	CPu	Aged	chr2	0.0656	5910468	90166422
CpuA7	CPu	Aged	chr3	0.0534	4816846	90166422
CpuA7	CPu	Aged	chr4	0.0439	3961383	90166422
CpuA7	CPu	Aged	chr5	0.0509	4587000	90166422
CpuA7	CPu	Aged	chr6	0.047	4236335	90166422
CpuA7	CPu	Aged	chr7	0.0451	4066648	90166422
CpuA7	CPu	Aged	chr8	0.0402	3623427	90166422
CpuA7	CPu	Aged	chr9	0.0472	4255405	90166422
CpuA7	CPu	Aged	chr10	0.045	4061505	90166422
CpuA7	CPu	Aged	chr11	0.0371	3344680	90166422
CpuA7	CPu	Aged	chr12	0.0433	3900447	90166422
CpuA7	CPu	Aged	chr13	0.0445	4015113	90166422
CpuA7	CPu	Aged	chr14	0.0433	3907551	90166422
CpuA7	CPu	Aged	chr15	0.0315	2839784	90166422
CpuA7	CPu	Aged	chr16	0.031	2796337	90166422
CpuA7	CPu	Aged	chr17	0.033	2974930	90166422
CpuA7	CPu	Aged	chr18	0.0264	2377122	90166422
CpuA7	CPu	Aged	chr19	0.0226	2035040	90166422
CpuA7	CPu	Aged	chrM	0.2267	20437633	90166422
CpuA7	CPu	Aged	chrX	0.0295	2660339	90166422
CpuA7	CPu	Aged	chrY	0.0092	827168	90166422
CpuA7	CPu	Aged	UnMapped	0.1604	17223870	90166422
CpuY1	CPu	Young	chr1	0.0968	9592561	99088702
CpuY1	CPu	Young	chr2	0.0518	5136436	99088702
CpuY1	CPu	Young	chr3	0.0363	3600112	99088702
CpuY1	CPu	Young	chr4	0.0394	3905347	99088702
CpuY1	CPu	Young	chr5	0.0507	5024448	99088702
CpuY1	CPu	Young	chr6	0.0417	4127339	99088702
CpuY1	CPu	Young	chr7	0.0333	3301269	99088702
CpuY1	CPu	Young	chr8	0.0382	3789451	99088702
CpuY1	CPu	Young	chr9	0.0417	4136677	99088702
CpuY1	CPu	Young	chr10	0.0254	2519592	99088702
CpuY1	CPu	Young	chr11	0.0361	3577237	99088702
CpuY1	CPu	Young	chr12	0.0319	3157360	99088702
CpuY1	CPu	Young	chr13	0.0347	3441153	99088702
CpuY1	CPu	Young	chr14	0.0299	2966733	99088702
CpuY1	CPu	Young	chr15	0.0209	2067309	99088702
CpuY1	CPu	Young	chr16	0.0247	2449549	99088702
CpuY1	CPu	Young	chr17	0.0178	1761277	99088702
CpuY1	CPu	Young	chr18	0.027	2678675	99088702
CpuY1	CPu	Young	chr19	0.0169	1677069	99088702
CpuY1	CPu	Young	chrM	0.4045	40079835	99088702
CpuY1	CPu	Young	chrX	0.0144	1430613	99088702
CpuY1	CPu	Young	chrY	0.0075	747358	99088702
CpuY1	CPu	Young	UnMapped	0.061000000000000054	6439592	99088702
CpuY2	CPu	Young	chr1	0.0979	9148014	93410889
CpuY2	CPu	Young	chr2	0.0594	5547922	93410889
CpuY2	CPu	Young	chr3	0.0461	4303525	93410889
CpuY2	CPu	Young	chr4	0.0535	4995306	93410889
CpuY2	CPu	Young	chr5	0.0473	4417598	93410889
CpuY2	CPu	Young	chr6	0.0403	3763200	93410889
CpuY2	CPu	Young	chr7	0.0503	4702860	93410889
CpuY2	CPu	Young	chr8	0.0378	3534314	93410889
CpuY2	CPu	Young	chr9	0.0381	3555931	93410889
CpuY2	CPu	Young	chr10	0.0364	3402134	93410889
CpuY2	CPu	Young	chr11	0.0398	3719342	93410889
CpuY2	CPu	Young	chr12	0.0477	4454405	93410889
CpuY2	CPu	Young	chr13	0.0415	3877897	93410889
CpuY2	CPu	Young	chr14	0.0362	3385529	93410889
CpuY2	CPu	Young	chr15	0.028	2614027	93410889
CpuY2	CPu	Young	chr16	0.0227	2123794	93410889
CpuY2	CPu	Young	chr17	0.0236	2203313	93410889
CpuY2	CPu	Young	chr18	0.0259	2421482	93410889
CpuY2	CPu	Young	chr19	0.0161	1500618	93410889
CpuY2	CPu	Young	chrM	0.2939	27453078	93410889
CpuY2	CPu	Young	chrX	0.0266	2489271	93410889
CpuY2	CPu	Young	chrY	0.0088	817481	93410889
CpuY2	CPu	Young	UnMapped	0.11460000000000004	12089905	93410889
CpuY3	CPu	Young	chr1	0.0988	9632194	97525497
CpuY3	CPu	Young	chr2	0.065	6335300	97525497
CpuY3	CPu	Young	chr3	0.0507	4942686	97525497
CpuY3	CPu	Young	chr4	0.0586	5719386	97525497
CpuY3	CPu	Young	chr5	0.0583	5684971	97525497
CpuY3	CPu	Young	chr6	0.0506	4937085	97525497
CpuY3	CPu	Young	chr7	0.0471	4591699	97525497
CpuY3	CPu	Young	chr8	0.05	4872596	97525497
CpuY3	CPu	Young	chr9	0.0549	5350988	97525497
CpuY3	CPu	Young	chr10	0.0373	3636680	97525497
CpuY3	CPu	Young	chr11	0.059	5758874	97525497
CpuY3	CPu	Young	chr12	0.0436	4249236	97525497
CpuY3	CPu	Young	chr13	0.0392	3819698	97525497
CpuY3	CPu	Young	chr14	0.0446	4345225	97525497
CpuY3	CPu	Young	chr15	0.0357	3481760	97525497
CpuY3	CPu	Young	chr16	0.0343	3348334	97525497
CpuY3	CPu	Young	chr17	0.0296	2890845	97525497
CpuY3	CPu	Young	chr18	0.0328	3199380	97525497
CpuY3	CPu	Young	chr19	0.0217	2120718	97525497
CpuY3	CPu	Young	chrM	0.2016	19665505	97525497
CpuY3	CPu	Young	chrX	0.0281	2739103	97525497
CpuY3	CPu	Young	chrY	0.0129	1256366	97525497
CpuY3	CPu	Young	UnMapped	0.08919999999999995	9556865	97525497
CpuY4	CPu	Young	chr1	0.099	10928625	110414812
CpuY4	CPu	Young	chr2	0.0623	6883054	110414812
CpuY4	CPu	Young	chr3	0.0462	5099372	110414812
CpuY4	CPu	Young	chr4	0.0471	5199494	110414812
CpuY4	CPu	Young	chr5	0.0438	4839533	110414812
CpuY4	CPu	Young	chr6	0.042	4639749	110414812
CpuY4	CPu	Young	chr7	0.0405	4470028	110414812
CpuY4	CPu	Young	chr8	0.0419	4621384	110414812
CpuY4	CPu	Young	chr9	0.0408	4509794	110414812
CpuY4	CPu	Young	chr10	0.0423	4669601	110414812
CpuY4	CPu	Young	chr11	0.0409	4518029	110414812
CpuY4	CPu	Young	chr12	0.0406	4485023	110414812
CpuY4	CPu	Young	chr13	0.0438	4836306	110414812
CpuY4	CPu	Young	chr14	0.0367	4051161	110414812
CpuY4	CPu	Young	chr15	0.0316	3490254	110414812
CpuY4	CPu	Young	chr16	0.0286	3159281	110414812
CpuY4	CPu	Young	chr17	0.0273	3018378	110414812
CpuY4	CPu	Young	chr18	0.028	3093430	110414812
CpuY4	CPu	Young	chr19	0.0203	2244166	110414812
CpuY4	CPu	Young	chrM	0.2969	32785401	110414812
CpuY4	CPu	Young	chrX	0.0213	2352779	110414812
CpuY4	CPu	Young	chrY	0.0114	1259230	110414812
CpuY4	CPu	Young	UnMapped	0.05579999999999996	6520888	110414812
CpuY5	CPu	Young	chr1	0.1058	10044787	94962714
CpuY5	CPu	Young	chr2	0.0616	5848770	94962714
CpuY5	CPu	Young	chr3	0.0651	6186800	94962714
CpuY5	CPu	Young	chr4	0.0678	6436120	94962714
CpuY5	CPu	Young	chr5	0.0539	5118989	94962714
CpuY5	CPu	Young	chr6	0.0591	5608472	94962714
CpuY5	CPu	Young	chr7	0.0607	5761678	94962714
CpuY5	CPu	Young	chr8	0.0644	6115710	94962714
CpuY5	CPu	Young	chr9	0.0548	5204973	94962714
CpuY5	CPu	Young	chr10	0.0583	5538120	94962714
CpuY5	CPu	Young	chr11	0.0597	5666298	94962714
CpuY5	CPu	Young	chr12	0.0395	3750074	94962714
CpuY5	CPu	Young	chr13	0.0497	4716640	94962714
CpuY5	CPu	Young	chr14	0.0518	4919863	94962714
CpuY5	CPu	Young	chr15	0.042	3993143	94962714
CpuY5	CPu	Young	chr16	0.0381	3614605	94962714
CpuY5	CPu	Young	chr17	0.0351	3334981	94962714
CpuY5	CPu	Young	chr18	0.0306	2904836	94962714
CpuY5	CPu	Young	chr19	0.0193	1830073	94962714
CpuY5	CPu	Young	chrM	0.0841	7981885	94962714
CpuY5	CPu	Young	chrX	0.0294	2793427	94962714
CpuY5	CPu	Young	chrY	0.0067	632214	94962714
CpuY5	CPu	Young	UnMapped	0.18320000000000003	21304112	94962714
CpuY6	CPu	Young	chr1	0.0911	5372670	58997215
CpuY6	CPu	Young	chr2	0.0852	5027041	58997215
CpuY6	CPu	Young	chr3	0.0612	3609586	58997215
CpuY6	CPu	Young	chr4	0.0694	4095618	58997215
CpuY6	CPu	Young	chr5	0.0758	4474505	58997215
CpuY6	CPu	Young	chr6	0.0655	3867184	58997215
CpuY6	CPu	Young	chr7	0.064	3778673	58997215
CpuY6	CPu	Young	chr8	0.0615	3626007	58997215
CpuY6	CPu	Young	chr9	0.0651	3839501	58997215
CpuY6	CPu	Young	chr10	0.0515	3038698	58997215
CpuY6	CPu	Young	chr11	0.0677	3996893	58997215
CpuY6	CPu	Young	chr12	0.0605	3568153	58997215
